order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,154,1,21.09,21.09
2,1,153,2,17.08,34.16
3,1,113,1,46.8,46.8
4,1,22,1,52.19,52.19
5,1,40,1,26.33,26.33
6,2,27,1,6.84,6.84
7,2,104,1,43.89,43.89
8,3,117,1,25.62,25.62
9,3,179,3,52.66,157.98
10,4,150,1,57.89,57.89
11,4,105,1,18.19,18.19
12,4,126,1,26.73,26.73
13,5,8,3,42.96,128.88
14,5,119,2,63.43,126.86
15,5,137,2,10.83,21.66
16,5,86,1,52.07,52.07
17,5,75,1,78.67,78.67
18,6,43,1,6.46,6.46
19,6,56,1,26.48,26.48
20,6,142,2,75.27,150.54
21,6,55,1,2.4,2.4
22,6,62,3,5.27,15.81
23,7,58,1,17.59,17.59
24,7,161,1,12.21,12.21
25,8,63,1,21.8,21.8
26,8,186,2,59.52,119.04
27,8,82,1,31.34,31.34
28,8,16,2,42.86,85.72
29,8,1,2,8.25,16.5
30,9,46,3,6.07,18.21
31,9,22,1,52.19,52.19
32,9,128,3,15.37,46.11
33,9,59,2,9.45,18.9
34,9,41,1,14.6,14.6
35,10,164,2,31.98,63.96
36,10,165,2,31.23,62.46
37,10,55,1,2.4,2.4
38,10,177,1,92.75,92.75
39,10,185,1,32.82,32.82
40,11,27,1,6.84,6.84
41,11,18,1,17.65,17.65
42,11,115,1,9.33,9.33
43,11,72,1,61.18,61.18
44,12,126,1,26.73,26.73
45,12,2,1,25.92,25.92
46,12,79,2,33.0,66.0
47,12,176,1,12.3,12.3
48,13,34,1,48.41,48.41
49,13,89,1,24.07,24.07
50,13,63,2,21.8,43.6
51,14,90,1,39.56,39.56
52,14,58,1,17.59,17.59
53,15,58,3,17.59,52.77
54,15,40,2,26.33,52.66
55,15,106,1,36.32,36.32
56,15,148,1,18.47,18.47
57,16,42,1,19.13,19.13
58,17,45,1,13.1,13.1
59,17,175,1,16.17,16.17
60,17,139,1,25.9,25.9
61,17,144,1,7.21,7.21
62,18,46,1,6.07,6.07
63,19,116,1,60.68,60.68
64,20,24,1,40.67,40.67
65,20,195,3,15.77,47.31
66,20,34,3,48.41,145.23
67,21,80,2,17.66,35.32
68,21,1,1,8.25,8.25
69,21,90,2,39.56,79.12
70,21,118,3,24.67,74.01
71,21,62,3,5.27,15.81
72,22,138,1,75.87,75.87
73,22,176,3,12.3,36.9
74,23,36,2,9.79,19.58
75,24,157,3,34.8,104.4
76,24,38,1,18.9,18.9
77,24,75,2,78.67,157.34
78,24,1,3,8.25,24.75
79,24,20,2,27.43,54.86
80,25,74,2,42.04,84.08
81,25,190,1,13.71,13.71
82,25,55,3,2.4,7.2
83,25,110,3,13.32,39.96
84,26,174,2,39.77,79.54
85,26,24,3,40.67,122.01
86,26,197,1,55.53,55.53
87,27,139,2,25.9,51.8
88,27,48,2,14.27,28.54
89,28,129,2,31.18,62.36
90,28,179,3,52.66,157.98
91,28,51,1,60.19,60.19
92,28,79,1,33.0,33.0
93,29,110,1,13.32,13.32
94,30,25,1,8.96,8.96
95,30,11,3,12.14,36.42
96,30,8,1,42.96,42.96
97,30,197,1,55.53,55.53
98,30,5,3,12.62,37.86
99,31,4,1,45.08,45.08
100,32,17,3,8.87,26.61
101,32,97,1,10.03,10.03
102,32,150,3,57.89,173.67
103,32,95,2,37.19,74.38
104,32,83,3,59.81,179.43
105,33,29,2,32.0,64.0
106,33,162,2,15.11,30.22
107,33,125,1,4.8,4.8
108,33,81,2,15.1,30.2
109,34,75,1,78.67,78.67
110,34,157,2,34.8,69.6
111,35,8,1,42.96,42.96
112,35,158,3,21.26,63.78
113,35,14,1,13.3,13.3
114,35,73,2,13.53,27.06
115,36,137,1,10.83,10.83
116,36,127,1,9.83,9.83
117,36,132,3,87.77,263.31
118,37,90,1,39.56,39.56
119,37,117,2,25.62,51.24
120,37,124,1,10.13,10.13
121,37,167,1,4.81,4.81
122,38,68,1,19.97,19.97
123,38,132,1,87.77,87.77
124,39,149,1,69.02,69.02
125,39,182,1,19.94,19.94
126,39,51,1,60.19,60.19
127,39,130,1,7.27,7.27
128,39,157,2,34.8,69.6
129,40,59,1,9.45,9.45
130,40,23,3,23.92,71.76
131,40,99,2,40.57,81.14
132,40,18,1,17.65,17.65
133,41,88,2,53.18,106.36
134,41,148,1,18.47,18.47
135,41,61,1,19.79,19.79
136,41,146,1,89.8,89.8
137,41,173,3,16.59,49.77
138,42,133,1,20.33,20.33
139,42,87,1,32.92,32.92
140,43,11,1,12.14,12.14
141,43,79,2,33.0,66.0
142,44,101,2,179.03,358.06
143,44,169,2,69.57,139.14
144,44,62,1,5.27,5.27
145,44,151,3,21.05,63.15
146,44,96,1,55.41,55.41
147,45,31,2,17.02,34.04
148,45,167,2,4.81,9.62
149,45,4,3,45.08,135.24
150,45,6,1,13.2,13.2
151,46,167,1,4.81,4.81
152,47,34,1,48.41,48.41
153,47,23,2,23.92,47.84
154,47,80,3,17.66,52.98
155,47,77,1,33.76,33.76
156,48,103,1,9.3,9.3
157,48,139,1,25.9,25.9
158,48,133,1,20.33,20.33
159,48,137,3,10.83,32.49
160,48,96,1,55.41,55.41
161,49,101,3,179.03,537.09
162,50,139,1,25.9,25.9
163,50,119,1,63.43,63.43
164,50,31,1,17.02,17.02
165,51,34,3,48.41,145.23
166,52,194,2,70.53,141.06
167,52,199,1,6.32,6.32
168,53,178,3,47.1,141.3
169,53,142,1,75.27,75.27
170,53,14,1,13.3,13.3
171,53,193,2,3.94,7.88
172,54,49,3,30.0,90.0
173,54,3,2,25.11,50.22
174,54,196,3,20.01,60.03
175,55,2,3,25.92,77.76
176,55,83,1,59.81,59.81
177,55,43,2,6.46,12.92
178,55,179,1,52.66,52.66
179,56,162,3,15.11,45.33
180,56,50,3,50.73,152.19
181,57,146,2,89.8,179.6
182,57,123,1,22.92,22.92
183,57,173,3,16.59,49.77
184,58,58,3,17.59,52.77
185,58,165,1,31.23,31.23
186,58,93,1,36.15,36.15
187,58,147,1,7.13,7.13
188,59,41,3,14.6,43.8
189,59,189,2,50.58,101.16
190,59,186,1,59.52,59.52
191,59,95,3,37.19,111.57
192,59,190,1,13.71,13.71
193,60,45,1,13.1,13.1
194,61,15,1,12.43,12.43
195,61,94,1,9.36,9.36
196,61,156,1,55.95,55.95
197,62,55,1,2.4,2.4
198,63,129,2,31.18,62.36
199,63,187,3,14.2,42.6
200,64,49,3,30.0,90.0
201,64,88,1,53.18,53.18
202,64,3,3,25.11,75.33
203,65,55,3,2.4,7.2
204,65,88,1,53.18,53.18
205,65,132,2,87.77,175.54
206,65,196,3,20.01,60.03
207,65,112,3,82.3,246.9
208,66,169,2,69.57,139.14
209,66,75,1,78.67,78.67
210,66,155,1,4.4,4.4
211,67,73,1,13.53,13.53
212,68,48,1,14.27,14.27
213,68,46,1,6.07,6.07
214,69,109,2,9.58,19.16
215,70,102,1,21.65,21.65
216,70,38,3,18.9,56.7
217,71,152,3,131.42,394.26
218,71,124,1,10.13,10.13
219,72,136,1,5.28,5.28
220,72,156,1,55.95,55.95
221,72,44,2,46.25,92.5
222,72,147,1,7.13,7.13
223,72,111,3,33.25,99.75
224,73,18,3,17.65,52.95
225,74,116,1,60.68,60.68
226,75,186,1,59.52,59.52
227,75,19,1,16.72,16.72
228,75,173,1,16.59,16.59
229,76,66,1,16.33,16.33
230,76,5,1,12.62,12.62
231,76,141,1,27.16,27.16
232,77,79,1,33.0,33.0
233,77,170,3,14.13,42.39
234,78,101,1,179.03,179.03
235,78,114,1,20.93,20.93
236,78,50,3,50.73,152.19
237,79,140,1,5.53,5.53
238,79,143,3,11.19,33.57
239,80,40,1,26.33,26.33
240,81,154,1,21.09,21.09
241,81,3,3,25.11,75.33
242,81,141,3,27.16,81.48
243,81,191,3,11.81,35.43
244,82,142,1,75.27,75.27
245,83,46,3,6.07,18.21
246,83,23,1,23.92,23.92
247,84,126,1,26.73,26.73
248,85,140,2,5.53,11.06
249,85,11,3,12.14,36.42
250,85,191,2,11.81,23.62
251,86,155,2,4.4,8.8
252,86,108,3,37.4,112.2
253,87,98,1,22.57,22.57
254,87,32,1,12.2,12.2
255,87,46,3,6.07,18.21
256,87,89,1,24.07,24.07
257,87,139,1,25.9,25.9
258,88,162,2,15.11,30.22
259,88,122,1,23.13,23.13
260,88,196,1,20.01,20.01
261,89,5,2,12.62,25.24
262,89,144,1,7.21,7.21
263,90,18,1,17.65,17.65
264,90,114,1,20.93,20.93
265,90,69,1,10.8,10.8
266,90,37,1,8.76,8.76
267,90,169,2,69.57,139.14
268,91,36,1,9.79,9.79
269,91,178,2,47.1,94.2
270,92,83,1,59.81,59.81
271,92,57,1,28.86,28.86
272,92,184,1,38.21,38.21
273,92,166,1,11.38,11.38
274,92,73,2,13.53,27.06
275,93,193,1,3.94,3.94
276,93,39,3,66.44,199.32
277,93,32,2,12.2,24.4
278,93,141,1,27.16,27.16
279,94,82,1,31.34,31.34
280,95,72,2,61.18,122.36
281,95,127,1,9.83,9.83
282,95,23,2,23.92,47.84
283,96,145,2,16.61,33.22
284,96,79,1,33.0,33.0
285,96,24,3,40.67,122.01
286,96,155,1,4.4,4.4
287,96,10,1,11.09,11.09
288,97,198,1,37.21,37.21
289,97,82,3,31.34,94.02
290,98,131,1,135.81,135.81
291,98,41,3,14.6,43.8
292,98,145,1,16.61,16.61
293,98,124,1,10.13,10.13
294,98,141,3,27.16,81.48
295,99,129,1,31.18,31.18
296,100,165,1,31.23,31.23
297,100,79,1,33.0,33.0
298,100,175,1,16.17,16.17
299,101,61,1,19.79,19.79
300,102,90,3,39.56,118.68
301,102,5,1,12.62,12.62
302,103,26,1,5.66,5.66
303,104,29,2,32.0,64.0
304,104,157,1,34.8,34.8
305,104,40,1,26.33,26.33
306,104,85,1,6.35,6.35
307,105,88,2,53.18,106.36
308,105,181,1,11.48,11.48
309,105,132,1,87.77,87.77
310,106,164,1,31.98,31.98
311,106,81,1,15.1,15.1
312,106,140,3,5.53,16.59
313,106,48,3,14.27,42.81
314,107,109,2,9.58,19.16
315,107,183,1,15.69,15.69
