product_id,name,category,price,sku
1,Professor Listen,Books,8.25,SKU-000001
2,Sit They,Electronics,25.92,SKU-000002
3,Least Figure,Electronics,25.11,SKU-000003
4,Sometimes Me,Clothing,45.08,SKU-000004
5,Scene Center,Electronics,12.62,SKU-000005
6,Similar Cover,Home,13.2,SKU-000006
7,Shake Space,Home,2.48,SKU-000007
8,Perform Whom,Home,42.96,SKU-000008
9,Ten Write,Clothing,14.26,SKU-000009
10,Mr Because,Books,11.09,SKU-000010
11,Civil War,Toys,12.14,SKU-000011
12,Account Personal,Toys,32.4,SKU-000012
13,Personal Hope,Clothing,22.15,SKU-000013
14,Represent Range,Electronics,13.3,SKU-000014
15,Long Hundred,Electronics,12.43,SKU-000015
16,Full Leg,Electronics,42.86,SKU-000016
17,Control Movie,Clothing,8.87,SKU-000017
18,Seven Per,Toys,17.65,SKU-000018
19,Far You,Electronics,16.72,SKU-000019
20,Spring Bill,Clothing,27.43,SKU-000020
21,Each Finish,Home,185.42,SKU-000021
22,Minute Growth,Home,52.19,SKU-000022
23,Anything Organization,Beauty,23.92,SKU-000023
24,National Watch,Beauty,40.67,SKU-000024
25,Network Particularly,Electronics,8.96,SKU-000025
26,Movie Three,Home,5.66,SKU-000026
27,Without Last,Sports,6.84,SKU-000027
28,Feeling Future,Toys,9.93,SKU-000028
29,If From,Electronics,32.0,SKU-000029
30,Sometimes Could,Clothing,40.86,SKU-000030
31,Character Analysis,Sports,17.02,SKU-000031
32,Teach You,Electronics,12.2,SKU-000032
33,Simple Us,Sports,6.01,SKU-000033
34,Side Develop,Electronics,48.41,SKU-000034
35,Law Natural,Home,51.61,SKU-000035
36,Fall Paper,Clothing,9.79,SKU-000036
37,Until Power,Beauty,8.76,SKU-000037
38,Former Bit,Clothing,18.9,SKU-000038
39,Hand Feel,Sports,66.44,SKU-000039
40,Company By,Toys,26.33,SKU-000040
41,Field Eye,Toys,14.6,SKU-000041
42,Message Leg,Electronics,19.13,SKU-000042
43,Door Value,Electronics,6.46,SKU-000043
44,Condition Fight,Toys,46.25,SKU-000044
45,Wrong Whose,Beauty,13.1,SKU-000045
46,Event Police,Sports,6.07,SKU-000046
47,Some Born,Home,16.95,SKU-000047
48,Window Each,Electronics,14.27,SKU-000048
49,Reflect Family,Beauty,30.0,SKU-000049
50,Chance Big,Sports,50.73,SKU-000050
51,Design Old,Sports,60.19,SKU-000051
52,This Movie,Beauty,23.11,SKU-000052
53,Somebody Concern,Home,16.36,SKU-000053
54,Ahead Piece,Books,14.97,SKU-000054
55,Weight Among,Sports,2.4,SKU-000055
56,Vote Notice,Home,26.48,SKU-000056
57,Note Successful,Electronics,28.86,SKU-000057
58,Day According,Books,17.59,SKU-000058
59,Middle There,Toys,9.45,SKU-000059
60,Test Agree,Beauty,61.75,SKU-000060
61,Hope Democrat,Beauty,19.79,SKU-000061
62,Father Year,Home,5.27,SKU-000062
63,Yourself Own,Home,21.8,SKU-000063
64,Last Sign,Toys,14.21,SKU-000064
65,Light Near,Electronics,29.44,SKU-000065
66,Card Then,Home,16.33,SKU-000066
67,Long Find,Electronics,26.36,SKU-000067
68,Why Break,Home,19.97,SKU-000068
69,Sense Seat,Clothing,10.8,SKU-000069
70,Wide Through,Clothing,37.28,SKU-000070
71,Call Light,Books,61.82,SKU-000071
72,Visit Lay,Toys,61.18,SKU-000072
73,Minute Everyone,Electronics,13.53,SKU-000073
74,Before Treatment,Home,42.04,SKU-000074
75,Certain Family,Electronics,78.67,SKU-000075
76,Sign Relate,Electronics,40.4,SKU-000076
77,But Health,Toys,33.76,SKU-000077
78,Suggest Bar,Electronics,7.55,SKU-000078
79,Size Student,Clothing,33.0,SKU-000079
80,Doctor Short,Electronics,17.66,SKU-000080
81,Bad General,Books,15.1,SKU-000081
82,Close Movement,Clothing,31.34,SKU-000082
